trajectory,distance_km,latency,energy,offload_ratio
 ofodwo_772197,0.25314434707617245,0.03399660715666726,12.668513684029817,0.7650966371473749
 atidfi_178454,0.22127679476247955,0.03465521239615039,11.075464624748953,0.8148885918068849
 udthon_980122,0.3743435137441291,0.07339160138764442,18.74084229354492,0.996669893767494
 ilyutj_611023,0.038375277610250585,0.01744888131350398,1.9250123068925438,0.40690014462192814
 iphesp_669167,0.3800338993220043,0.05663766865156282,19.019936737907578,0.9834810698503784
 atnokv_182238,0.7659833359303458,0.05477526922714442,38.31577804913595,0.9882563508125484
 osocce_915170,0.4942339354056595,0.015262887733521,24.71650677563703,0.2908597650333075
 adkavy_34644,0.057553197977360165,0.08359943511341172,2.9074249963178573,0.8486793897683353
 abniar_11749,0.712564453511802,0.013472081995426419,35.63233490821621,0.2757834751367132
 anucks_133413,0.12080351930752402,0.035807662520681315,6.052621164597304,0.7184397528891064
 iphybc_669861,0.46537242872364915,0.011282759821273516,23.272195231240442,0.22526038311544083
 acpegh_29471,0.06387466322133642,0.01663510342524721,3.1996431070289693,0.30860903403677353
 ogphag_789265,0.03550728328851608,0.027704888071641717,1.7852923902433127,0.5874697255127337
 eagbac_226889,0.15664143874344486,0.14460430258168855,7.881650469046928,0.9989387584020397
 indyep_628468,0.05715858061015646,0.09225532936504326,2.890780351349443,0.8441423265864347
 ayshek_219215,0.3181984093892224,0.046652108459947196,15.925158645226086,0.9640901813451233
 onwohy_869268,0.02831474155137181,0.012614885380099123,1.4202649547476456,0.2551892043469858
 otswra_925554,0.1474411806681111,0.024764082140647736,7.380578529319881,0.5890465733116355
 odocje_760465,0.1571326749029137,0.03193163381753701,7.86757974561093,0.6854839410975242
 ojvigh_822956,0.01925151502952213,0.11385182063129996,1.0035047729011994,0.8910631215959952
 auctji_187543,0.30532049332099154,0.10198780302408259,15.299443466210493,0.9928206497328413
 ickphi_529908,0.009086282059515638,0.02757435694380741,0.4642376392987273,0.21798422567604697
 ithpet_697968,0.06347732745032296,0.043870166226245774,3.189454290173658,0.76516465325361
 eoccoi_390868,0.030453615598583665,0.03168211653219981,1.5340474205898276,0.6013422041525787
 ijthin_594594,0.1005935074685874,0.012644798131335434,5.034105289479571,0.271147325097091
 ejkipu_340778,0.4380266895716819,0.1748119047411306,21.956986555907378,0.9999229013480073
 opgove_884701,0.02183411067336885,0.0263852484405122,1.1011871571730056,0.3097872743464163
 aivtyt_78995,0.4387565165915336,0.023414847070250207,21.945279010334303,0.43938431399260447
 udveoy_984436,0.42728120250372537,0.023259065524450267,21.371479994655118,0.42465084563171057
 ujkiwe_1008953,0.03149540777603629,0.11739211423676311,1.6168777866990145,0.926949922897812
 agdrea_53121,0.5964970101578526,0.02200159769325454,29.831672779125203,0.45767694087087024
 awrenb_200962,3.005899188547412,0.1471754502709509,150.33399578593932,0.9993627741246114
 uvreoi_1078233,0.1487410042584141,0.03371432833130809,7.448643200702903,0.6759140542212347
 ujkiwe_1008953,0.03149540777603629,0.11739211423676311,1.6168777866990145,0.926949922897812
 okquak_839230,0.25031669836978276,0.011288631067225954,12.519588922975181,0.20528547449433754
 ioangi_644662,0.6560559320220108,0.02054228769203148,32.80911326262543,0.41554142179119424
 okvats_844755,0.007598756758703914,0.05825124734385387,0.40090344147243434,0.4821892995849682
 ootyec_881722,0.32275074749127564,0.02355925268647003,16.145224162502405,0.5293558959985561
 evtitd_465303,0.2746567641991626,0.09088661362515425,13.76285800825081,0.9890350618297068
 arlwra_154369,0.0594118821557556,0.17173196210635244,3.0316998438557077,0.9315979821412428
 utwoab_1069538,0.2440930720830538,0.06349083770472493,12.225805427733576,0.9644842176654773
 orrrar_905677,0.36024251151453496,0.031188086982093147,18.02221378797795,0.6624983890495597
 aducri_40623,0.06901774391449693,0.08284118578370554,3.480263878173965,0.9889110955909841
 ivkock_709120,0.3203239148235685,0.04518421682012338,16.030946844624378,0.9701596944031456
 osckro_911306,0.6358546569785627,0.01509767152116248,31.797388163916366,0.2931801887688062
 ujtosh_1012679,0.4541449202185336,0.044491057378300315,22.72136733933092,0.9619373826606181
 edglev_270836,0.7744375491564679,0.017387623815489212,38.72714522789168,0.31875710172255184
 udwadl_986501,0.28267579445554686,0.06925538944013239,14.156615728273092,0.9799641153670093
 igglit_573397,0.010353796237249921,0.08866112109692985,0.5495944344706768,0.7770420003678931
 ogawje_774411,0.4407018528442742,0.009932413135006014,22.03825306691537,0.20699337602341697
 osocce_916731,0.6226624722519498,0.04351366820711618,31.146565691633043,0.9090048641290818
 abdrem_3321,2.733949519266044,0.09837011527139794,136.72382876596953,0.9989234727722105
 onyacj_870432,0.3057766919807233,0.015457596323596163,15.293899079964568,0.28168767385047383
 ogurju_795025,0.044007325859036245,0.0427805159447768,2.215662522448676,0.7590257995982286
 odocje_759956,0.6566230783072106,0.12138568837527462,32.86847661483089,0.9989381828030501
 eghanw_318696,0.3073776965467223,0.011758648849688778,15.37273585484959,0.26489040427314825
 ubzach_963137,0.12165329102328384,0.028475696876643267,6.092558187946426,0.6543761423908101
 aiwalb_80089,0.01775371462003461,0.17771001173643605,0.9515845263170353,0.9676903138370208
 ednill_281585,0.10695057251289314,0.03919110173673156,5.361224209282828,0.8123428812096205
 iackaw_486759,0.46427648604365335,0.010727822065449357,23.21722299420715,0.21224632277080024
 ofodwo_772484,0.5837912403367154,0.0639600313504916,29.209432072595394,0.9950993082612662
 uklsdr_1020597,0.3693047723398873,0.015514069647146727,18.470246891632332,0.31382790036375807
 odscix_764560,0.8635804380271108,0.05330767588088876,43.195012433634176,0.9760875870723242
 ictmuo_536581,0.010810638770629233,0.038629309057127664,0.5544321496991255,0.7188221487255746
 acgerl_25757,0.3443852856965344,0.04162058206452736,17.232775206665398,0.8926795800002707
 itmeps_699221,0.4995368803374095,0.013958012294183069,24.981238814502063,0.2874964676113342
 eshroa_440225,0.7228024537665712,0.063013379267463,36.159332377876346,0.9965922861971743
 eoslui_401698,0.8966494644836992,0.05243298346287979,44.848147101528085,0.9965156368639634
 udveoy_984436,0.42728120250372537,0.023259065524450267,21.371479994655118,0.42465084563171057
 oakpik_718403,0.0645932464950717,0.04379702333746763,3.2452181187422697,0.9494436977485343
 uvreoi_1079198,3.7497613969303174,0.08380088378333138,187.5097770999483,0.9996928312907238
 aitpyg_77176,0.7440140010166292,0.06501536187829142,37.2204685774449,0.9986669195092976
